group_id,indiv_id,site_id,site_id_chinese,longitude,latitude,altitude,altitude_range,date_interval_bp,Time_plus,Time_minus,time_period,Subsistence,min_temp,max_temp,precip_jan,precip_jul,sex,pC,FXL,FBL,FHD,TXL,HXL,RXL,BI,CI,Measure
2,WJHM449jia,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,499.5,495.4455,,405,352,273,77.55681818,81.74461167,Direct
2,WJHM455,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,454,450.173,,,323,,,,Direct
2,WJHM463yi,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,466,462.113,,,,,,,Direct
2,WJHM466,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,448,444.203,,364,302,,,81.94451636,Direct
2,WJHM489,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,,,,368,,,,,Direct
2,WJHM490jia,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,430.5,426.7905,,363.5,314,248,78.98089172,85.17059307,Direct
2,WJHM491jia,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,,,,,342,,,,Direct
2,WJHM496,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,470,466.093,,386,324,,,82.81609035,Direct
2,WJHM498south,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,467.5,463.6055,,,321,,,,Direct
2,WJHM499,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,,,,,354,,,,Direct
2,WJHM506,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,0,0.05,430,426.293,,,,,,,Direct
2,WJHM294,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,308,,,,Direct
2,WJHM416,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,307,,,,Direct
2,WJHM417,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,,251,,,Direct
2,WJHM419jia,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,440,436.243,,374,334,258,77.24550898,85.73203467,Direct
2,WJHM422,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,454,450.173,,374,320,251,78.4375,83.07917179,Direct
2,WJHM426,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,308,,,,Direct
2,WJHM430,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,465.5,461.6155,,365.5,328.5,,,79.17845046,Direct
2,WJHM437,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,316,,,,Direct
2,WJHM449yi,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,450,446.193,,,308,,,,Direct
2,WJHM451da,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,301,299.5,,,,Direct
2,WJHM452,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,417,413.358,,,,,,,Direct
2,WJHM467,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,490,485.993,,,,,,,Direct
2,WJHM470,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,432,428.283,,,,,,,Direct
2,WJHM474,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,,319,,,,Direct
2,WJHM477,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,471,467.088,,,322,,,,Direct
2,WJHM478,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,450,446.193,,,313,,,,Direct
2,WJHM479,Jiahu,河南舞阳贾湖,113.4,33.36,163,low,9000-7500,9000,7500,0,1,-3.325000048,30.98600006,14,173,1,0.95,,,,363.5,306.5,,,,Direct
