.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,-0.27053108302620094,-1.5369460898594298,0.996572610853418,0.89,median,qi
b_maxprecip_scaled,0.060022918425252675,-0.2615520805744072,0.4018856681639884,0.89,median,qi
b_maxtemp_scaled,-0.6433948072017743,-1.5854695184284733,0.3389185462082422,0.89,median,qi
b_minprecip_scaled,0.2779763469923059,-0.105299883712411,0.6672267619183976,0.89,median,qi
b_mintemp_scaled,-0.052323139166891776,-0.704654323053479,0.5623506429620763,0.89,median,qi
