.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,0.6749872056026871,-0.23352950246394064,1.5818838384901415,0.89,median,qi
b_maxprecip_scaled,-0.29070474386038236,-0.5456873282587729,-0.015036237483931191,0.89,median,qi
b_maxtemp_scaled,-0.161096334168966,-0.8682321327299085,0.5169325167352031,0.89,median,qi
b_minprecip_scaled,0.15252637104224465,-0.043562021311142354,0.33567429106636465,0.89,median,qi
b_mintemp_scaled,0.7881455117985792,0.2925429303402417,1.2896335948036497,0.89,median,qi
