.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,0.7484393348717291,-0.4071473318475376,1.8413770630011377,0.89,median,qi
b_maxprecip_scaled,-0.07596064469997003,-0.2561911512136717,0.11098126131695167,0.89,median,qi
b_maxtemp_scaled,0.10676767555713557,-0.65843301173565,0.8441047719812875,0.89,median,qi
b_minprecip_scaled,-0.1195885021257462,-0.29390647804134595,0.05151253545582242,0.89,median,qi
b_mintemp_scaled,0.4966730584134488,-0.1064999033197778,1.0478533385399604,0.89,median,qi
