.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,0.3499938564706921,-0.6211392618308825,1.2879478650973324,0.89,median,qi
b_maxprecip_scaled,-0.08278267044755955,-0.2539701104278997,0.08715757478715778,0.89,median,qi
b_maxtemp_scaled,0.06707169981701722,-0.5901554646557169,0.7049564247139212,0.89,median,qi
b_minprecip_scaled,0.09499451401926808,-0.06252890747208696,0.2659064727467235,0.89,median,qi
b_mintemp_scaled,0.24204041086872832,-0.30134446525001557,0.7987132900729995,0.89,median,qi
