.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,-0.31887953846377926,-1.2646450268886094,0.5924572581616343,0.89,median,qi
b_maxprecip_scaled,0.023748709188754054,-0.1378918074357626,0.18300511797603022,0.89,median,qi
b_maxtemp_scaled,-0.16108701519257806,-0.8028725687651915,0.46573459820559077,0.89,median,qi
b_minprecip_scaled,-0.17217658980841438,-0.32032828539145436,-0.020886056442461352,0.89,median,qi
b_mintemp_scaled,-0.0760418831775852,-0.6254064683306712,0.4734039695182587,0.89,median,qi
