.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,0.12438132521231357,-0.9427133688101331,1.1767458591637232,0.89,median,qi
b_maxprecip_scaled,0.1087460702708625,-0.11928095031765264,0.3381030680101801,0.89,median,qi
b_maxtemp_scaled,-0.01837022107701979,-0.7832245994163853,0.7422011005236323,0.89,median,qi
b_minprecip_scaled,0.017475123813902635,-0.14584517563900298,0.18886664254954388,0.89,median,qi
b_mintemp_scaled,0.07646617653518427,-0.4227054214414354,0.5871713913599274,0.89,median,qi
