.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,0.5141010324970663,-0.6217542539486276,1.6110139618746788,0.89,median,qi
b_maxprecip_scaled,0.06912353936498436,-0.09647879436877516,0.2522496869867057,0.89,median,qi
b_maxtemp_scaled,0.016165222724751155,-0.7191696956697458,0.7535611352962751,0.89,median,qi
b_minprecip_scaled,-0.2613373580047823,-0.466819070363835,-0.06326103876517995,0.89,median,qi
b_mintemp_scaled,0.6102331180808679,-0.05228766244558987,1.2086082689395257,0.89,median,qi
