.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,-0.05676208965439794,-0.8253164940462596,0.7419799779984659,0.89,median,qi
b_maxprecip_scaled,0.041425042531754816,-0.1908543450313829,0.27332315610572455,0.89,median,qi
b_maxtemp_scaled,-0.2598446901919338,-0.902678119019988,0.4426200704511595,0.89,median,qi
b_minprecip_scaled,-0.027485480053918647,-0.18658035048611896,0.13835308263994708,0.89,median,qi
b_mintemp_scaled,0.5894440516227641,0.03631364830632208,1.1027199926886881,0.89,median,qi
