.variable,Estimate,5.5%,94.5%,.width,.point,.interval
b_altitude_scaled,-0.48203870258253356,-1.2521928662898796,0.2814004738030175,0.89,median,qi
b_maxprecip_scaled,0.05380603622638682,-0.07887319762619852,0.18640640269601258,0.89,median,qi
b_maxtemp_scaled,-0.30592046630160963,-0.8782964632901614,0.2602032442173779,0.89,median,qi
b_minprecip_scaled,-0.18024926002559843,-0.27486120780579903,-0.0849175957641715,0.89,median,qi
b_mintemp_scaled,-0.30471060731170274,-0.7793174781158874,0.16145807413969554,0.89,median,qi


